Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00119-2019,Unknown,Kempsey,Macleay Unregulated and Alluvial Water Source ,Feb-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Low priority
00120-2019,,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00120-2020,Individual,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Jan-20,Feb-20, ,Low priority
00121-2017,,Greater Hume,Murray Unregulated and Alluvial Water Sources ,Mar-17,Oct-18,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00121-2018,Crop / horticulture,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Feb-18,Nov-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00121-2019,Development,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Feb-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Breach – enforcement response completed
00121-2020,Unknown,Greater Hume,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Jul-20,91A(1)-tier 2 - Using water without a water use approval,No breach - insufficient evidence
00122-2018,Unknown,Byron,Tweed River Area Unregulated and Alluvial Water Sources ,Feb-18,Aug-18,"353H - Failure to comply with an order under Part 3A court orders, 91B - Constructing or using water supply work",Breach – enforcement response completed
00122-2019,Animal,Armidale Regional,Macleay Unregulated and Alluvial Water Source ,Feb-19,Mar-19,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – other
00122-2020,Unknown,Port Stephens,North Coast Coastal Sands Groundwater Sources ,Jan-20,Jul-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – other
00123-2019,Development,Murray River,Murray Unregulated and Alluvial Water Sources ,Feb-19,Jun-20,91B - Constructing or using water supply work,Breach – enforcement response completed
00123-2020,Irrigation,Wentworth,NSW Murray and Lower Darling Regulated Rivers Water Sources ,Jan-20,Mar-20,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00124-2017,Crop / horticulture,Bland,Lachlan Unregulated and Alluvial Water Sources ,Mar-17,Jun-18,91D - Constructing or using flood work,Other (details in running log)
00124-2019,Development,Armidale Regional,Gwydir Unregulated and Alluvial Water Sources ,Feb-19,Oct-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Breach – enforcement response completed
00124-2020,Unknown,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Dec-19,Feb-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00125-2018,Development,Maitland,Hunter Unregulated and Alluvial Water Sources ,Feb-18,Nov-18,91D - Constructing or using flood work,No breach – referred to another agency
00125-2019,Development,Liverpool Plains,Namoi Unregulated and Alluvial Water Sources ,Feb-19,Oct-20,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – exempt
00125-2020,Industrial,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-20,Feb-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",No breach – authorised by licence/approval
00126-2019,Development,Singleton,Hunter Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Breach – enforcement response completed
00126-2020,Development,Yass Valley,Lachlan Unregulated and Alluvial Water Sources ,Jan-20,Dec-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00127-2017,Unknown,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Mar-17,Apr-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00127-2019,Development,Lithgow,Greater Metropolitan Region Unregulated River Water Sources ,Feb-19,Mar-19,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – authorised by licence/approval
00127-2020,Irrigation,Murrumbidgee,Lower Murrumbidgee Groundwater Sources ,Jan-20,Jun-20,"60B - Contravention of terms and conditions of access licence, 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00128-2019,Unknown,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Feb-19,May-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00128-2020,Crop / horticulture,Walgett,Intersecting Streams Unregulated and Alluvial Water Sources ,Jan-20,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00129-2017,Crop / horticulture,Federation,Murrumbidgee Unregulated and Alluvial Water Sources ,Mar-17,Jul-19,91B - Constructing or using water supply work,No breach – other
00129-2019,Unknown,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Feb-20,91E - Carrying out controlled activity,No breach – other
00129-2020,Unknown,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-19,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – referred to another agency
00130-2019,Development,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,91E - Carrying out controlled activity,Low priority
00130-2020,Unknown,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Oct-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach - insufficient evidence
00131-2018,Unknown,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-18,Jan-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00131-2019,Extractive,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,"60A - Taking water without, or otherwise than authorised by, an access licence, Aquifer Interference Activity",Breach – enforcement response completed
00131-2020,Unknown,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jan-20,Mar-20, ,Low priority
00132-2018,,Penrith,Greater Metropolitan Region Unregulated River Water Sources ,Feb-18,Jan-19,91E - Carrying out controlled activity,No breach – referred to another agency
00132-2019,Unknown,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00132-2020,Unknown,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-19,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Low priority
00133-2018,,Penrith,Greater Metropolitan Region Unregulated River Water Sources ,Feb-18,Aug-18,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00133-2020,Extractive,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Jan-20,Jul-20,"60A(1)-tier 1 - Taking water without an access licence, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended), 91F(1)-tier 2 - Carrying out an aquifer interference activity without an aquifer interference approval",No breach - insufficient evidence
00134-2018,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-18,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00134-2019,Unknown,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,"21B - Construction, erection or use of work without licence",Breach – enforcement response completed
00134-2020,Irrigation,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jan-20,Mar-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",No breach – other
00135-2019,Unknown,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Feb-19,Sep-19,"60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",Low priority
00135-2020,Irrigation,Dubbo Regional,NSW Murray Darling Basin Porous Rock Groundwater Sources ,Jan-20,May-20, ,Low priority
00136-2018,Crop / horticulture,Lachlan,Lachlan Unregulated and Alluvial Water Sources ,Feb-18,Jul-18,"60B - Contravention of terms and conditions of access licence, 91I - Taking water when metering equipment not working",No breach – other
00136-2019,Crop / horticulture,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-19,May-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00136-2020,Irrigation,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Jan-20,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00137-2018,Other,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Feb-18,Jul-18,91B - Constructing or using water supply work,No further action required
00137-2019,Development,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00137-2020,Other,Wingecarribee,Greater Metropolitan Region Groundwater Sources ,Dec-19,Apr-20,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00138-2017,,Wollongong,Greater Metropolitan Region Unregulated River Water Sources ,Mar-17,Oct-18,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00138-2018,,Yass Valley,Murrumbidgee Unregulated and Alluvial Water Sources ,Feb-18,Nov-18,91B - Constructing or using water supply work,No breach – other
00138-2019,,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Feb-19,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00138-2020,Irrigation,Yass Valley,NSW Murray Darling Basin Fractured Rock Groundwater Sources ,Jan-20,Apr-20,91A(2)-tier 2 - Using water with a water use approval-but not in accordance with the approval (Includes using water while the approval is suspended),Duplicate Entry - refer to linked notification
00139-2017,Crop / horticulture,Coonamble,Castlereagh River Unregulated and Alluvial Water Sources ,Mar-17,Jun-20,"91D - Constructing or using flood work, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00139-2019,Crop / horticulture,Upper Hunter,Namoi Unregulated and Alluvial Water Sources ,Feb-19,Feb-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00139-2020,Unknown,Coffs Harbour,North Coast Fractured and Porous Rock Groundwater Sources ,Jan-20,May-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended)",Breach – enforcement response completed
00140-2017,Unknown,Murray River,Murray Unregulated and Alluvial Water Sources ,Mar-17,Dec-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00140-2018,Unknown,Central Darling,Barwon-Darling Unregulated and Alluvial Water Sources ,Feb-18,Jul-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00140-2019,Development,Parramatta,Greater Metropolitan Region Unregulated River Water Sources ,Feb-19,Feb-19, ,Duplicate Entry - refer to linked notification
00141-2019,Development,Edward River,NSW Murray and Lower Darling Regulated Rivers Water Sources ,Feb-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Other (details in running log)
00141-2020,Animal,Gunnedah,Upper and Lower Namoi Groundwater Sources ,Jan-20,Jul-20,"60A(2)-tier 2 - Taking water without an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91B(2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the water supply work approval (Includes constructing or using the work while the water supply work approval is suspended)",Breach – enforcement response completed
00142-2018,Unknown,Upper Hunter,Lachlan Unregulated and Alluvial Water Sources ,Feb-18,Mar-20,91B - Constructing or using water supply work,Low priority
00142-2019,Development,Dungog,Hunter Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,91E - Carrying out controlled activity,Low priority
00142-2020,Residential,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Jan-20,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – authorised by licence/approval
00143-2018,,Gosford,Central Coast Unregulated Water Sources ,Feb-18,Jul-18, ,No breach – other
00143-2019,Crop / horticulture,Glen Innes Severn Shire,NSW Border Rivers Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00144-2019,Development,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,91E - Carrying out controlled activity,
00144-2020,Irrigation,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Jan-20,Mar-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00145-2019,Development,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Feb-19,Jul-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00145-2020,Residential,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Jan-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Duplicate Entry - refer to linked notification
00146-2018,Unknown,Oberon,Lachlan Unregulated and Alluvial Water Sources ,Feb-18,Feb-19,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00146-2019,Unknown,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Feb-19,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00146-2020,Other,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00147-2018,,Greater Taree,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-18,Aug-18,91E - Carrying out controlled activity,No breach – referred to another agency
00147-2019,Development,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-19,Feb-20,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00147-2020,Irrigation,Eurobodalla,Clyde River Unregulated and Alluvial Water Sources ,Jan-20,Apr-20,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – other
00148-2017,,Great Lakes,Lower North Coast Unregulated and Alluvial Water Sources ,Mar-17,Mar-19,91E - Carrying out controlled activity,No breach – exempt
00148-2018,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Feb-18,Aug-18,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",No breach – referred to another agency
00148-2019,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Feb-19,Sep-20,60B - Contravention of terms and conditions of access licence,Medium priority – potential M&A audit
00149-2017,Crop / horticulture,Bland,Lachlan Unregulated and Alluvial Water Sources ,Mar-17,Nov-18,91D - Constructing or using flood work,Breach – enforcement response completed
00149-2019,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Feb-19,Feb-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00150-2018,,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Feb-18,May-18,60B - Contravention of terms and conditions of access licence,Other (details in running log)
00150-2019,Development,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00151-2018,,Great Lakes,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-18,Nov-18,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00151-2019,Animal,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Mar-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00151-2020,Unknown,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jan-20,Mar-20,91E(2)-tier 2 - Carrying out a controlled activity with a controlled activity approval-but not in accordance with the controlled activity approval,Low priority
00152-2019,Development,Greater Hume,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00153-2018,Irrigation,Bourke,Barwon-Darling Unregulated and Alluvial Water Sources ,Feb-18,Feb-20,"60B - Contravention of terms and conditions of access licence, 91I - Taking water when metering equipment not working",Breach – enforcement response completed
00153-2019,Development,Hilltops,Lachlan Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,91E - Carrying out controlled activity,Low priority
00154-2018,,Port Stephens,Hunter Unregulated and Alluvial Water Sources ,Feb-18,Jan-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00154-2019,Individual,Bellingen,Bellinger River Area Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"91D - Constructing or using flood work, 91E - Carrying out controlled activity",Low priority
00154-2020,Residential,Uralla,North Coast Fractured and Porous Rock Groundwater Sources ,Jan-20,May-20, ,No breach – other
00155-2019,Individual,Cabonne,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-19,Feb-20,91E - Carrying out controlled activity,Breach – enforcement response completed
00156-2017,Other,Shellharbour,Greater Metropolitan Region Unregulated River Water Sources ,Apr-17,Jun-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",Other (details in running log)
00156-2018,,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Feb-18,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00156-2019,Animal,Walcha,Namoi Unregulated and Alluvial Water Sources ,Feb-19,Mar-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00156-2020,Unknown,Upper Hunter,Lachlan Unregulated and Alluvial Water Sources ,Dec-19,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Low priority
00157-2018,Other,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Feb-18,Dec-18,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00157-2019,Development,Liverpool Plains,Namoi Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00157-2020,Unknown,Snowy Valleys,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00158-2017,Crop / horticulture,Bland,Lachlan Unregulated and Alluvial Water Sources ,Apr-17,Nov-18,91D - Constructing or using flood work,Breach - Referred to NRAR Licencing & Approvals
00158-2018,,Greater Taree,Lower North Coast Unregulated and Alluvial Water Sources ,Feb-18,Nov-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00158-2019,Unknown,Murray River,Murray Unregulated and Alluvial Water Sources ,Feb-19,Nov-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",Breach – enforcement response completed
00158-2020,Animal,Hilltops,Lachlan Unregulated and Alluvial Water Sources ,Jan-20,Dec-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00159-2017,Crop / horticulture,Bland,Lachlan Unregulated and Alluvial Water Sources ,Apr-17,Nov-18,91D - Constructing or using flood work,Breach - Referred to NRAR Licencing & Approvals
00159-2018,,Tamworth Regional,Gwydir Unregulated and Alluvial Water Sources ,Feb-18,Sep-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00159-2019,Crop / horticulture,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Feb-19,Aug-19,60B - Contravention of terms and conditions of access licence,Low priority
00159-2020,Animal,Upper Hunter,Lachlan Unregulated and Alluvial Water Sources ,Dec-19,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Low priority
00160-2018,Urban,Sutherland Shire,Greater Metropolitan Region Unregulated River Water Sources ,Mar-18,Jun-18,91B - Constructing or using water supply work,Breach - Referred to NRAR Licencing & Approvals
00160-2020,Irrigation,Singleton,Hunter Unregulated and Alluvial Water Sources ,Jan-20,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach - insufficient evidence
00161-2018,Crop / horticulture,Brewarrina,Barwon-Darling Unregulated and Alluvial Water Sources ,Mar-18,Mar-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00161-2019,Crop / horticulture,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Feb-19,Mar-19,60B - Contravention of terms and conditions of access licence,No breach – other
00161-2020,Industrial,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Jul-20,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach – authorised by licence/approval
00162-2017,,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Apr-17,Aug-18,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work, Aquifer Interference Activity",No breach – referred to another agency
00162-2018,,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Mar-18,Aug-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00162-2019,Development,Shellharbour,Greater Metropolitan Region Unregulated River Water Sources ,Feb-19,May-19,91E - Carrying out controlled activity,No breach – referred to another agency
00163-2019,Unknown,Moree Plains,Murray Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,91D - Constructing or using flood work,Low priority
00163-2020,Development,Eurobodalla,Clyde River Unregulated and Alluvial Water Sources ,Dec-19,Oct-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00164-2018,,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Mar-18,Aug-18,91B - Constructing or using water supply work,No breach – other
00164-2019,Unknown,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Feb-19,Nov-19,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00165-2018,,Cabonne,Macquarie Bogan Unregulated and Alluvial Water Sources ,Mar-18,Jun-18,91G - Contravention of terms and conditions of approval,No breach – other
00165-2019,Crop / horticulture,Greater Hume,Murrumbidgee Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 91A - Using water without, or otherwise than as authorised by, a water use approval",Breach – enforcement response completed
00165-2020,Crop / horticulture,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Dec-19,Aug-20,"60A - Taking water without, or otherwise than authorised by, an access licence",No breach - insufficient evidence
00166-2018,Crop / horticulture,Gosford,Central Coast Unregulated Water Sources ,Mar-18,May-18,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00166-2019,Unknown,Bogan,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-19,Jan-20,91E - Carrying out controlled activity,Breach – enforcement response completed
00166-2020,Development,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Jan-20,Jan-20,"91C(2)-tier 2 - Constructing or using a drainage work with a drainage work approval-but not in accordance with the drainage work approval (Includes constructing or using the work while the drainage work approval is suspended), 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",No breach – other
00167-2019,Unknown,Forbes,Lachlan Unregulated and Alluvial Water Sources ,Jan-19,Aug-19,91D - Constructing or using flood work,Low priority
00167-2020,Crop / horticulture,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Dec-19,Nov-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00168-2018,,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Mar-18,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00168-2019,Development,Woollahra,Greater Metropolitan Region Unregulated River Water Sources ,Feb-19,Mar-19,"91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Breach – enforcement response completed
00168-2020,Unknown,Narrabri,Upper and Lower Namoi Groundwater Sources ,Jan-20,Jan-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00169-2018,,Gloucester,Lower North Coast Unregulated and Alluvial Water Sources ,Mar-18,Oct-18,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00169-2019,Unknown,Tenterfield,Clarence River Unregulated and Alluvial Water Sources ,Feb-19,Sep-19,91E - Carrying out controlled activity,Low priority
00169-2020,Unknown,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jan-20,Jun-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – exempt
00170-2018,,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Mar-18,May-18,91B - Constructing or using water supply work,No breach – other
00170-2019,Unknown,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Feb-19,Aug-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 60D - Taking water otherwise than from a nominated water supply work",No breach – other
00171-2017,,Shellharbour,Greater Metropolitan Region Unregulated River Water Sources ,Apr-17,Oct-18,91B - Constructing or using water supply work,No breach – exempt
00171-2019,Unknown,Central Coast,Central Coast Unregulated Water Sources ,Feb-19,Aug-19,91E - Carrying out controlled activity,Low priority
00171-2020,Irrigation,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Dec-19,Feb-20,60B - Contravention of terms and conditions of access licence,Low priority
00172-2017,,Gloucester,Lower North Coast Unregulated and Alluvial Water Sources ,Apr-17,Jan-19,91E - Carrying out controlled activity,Duplicate Entry - refer to linked notification
00172-2019,Extractive,Kempsey,Macleay Unregulated and Alluvial Water Source ,Feb-19,Jul-20,"91D - Constructing or using flood work, 91E - Carrying out controlled activity",No breach - insufficient evidence
00172-2020,Irrigation,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jan-20,Feb-20, ,No breach – exempt
00173-2018,,Fairfield,Greater Metropolitan Region Unregulated River Water Sources ,Mar-18,Nov-18,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No further action required
00173-2020,Other,Singleton,Hunter Unregulated and Alluvial Water Sources ,Jan-20,May-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00174-2018,,Port Stephens,Hunter Unregulated and Alluvial Water Sources ,Mar-18,Sep-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00174-2019,Unknown,Warrumbungle,Macquarie Bogan Unregulated and Alluvial Water Sources ,Feb-19,Jul-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00174-2020,Development,Hornsby,Greater Metropolitan Region Unregulated River Water Sources ,Dec-19,Jun-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00175-2018,,Tamworth Regional,Gwydir Unregulated and Alluvial Water Sources ,Mar-18,Aug-18,91E - Carrying out controlled activity,No breach – other
